frame,id,x,y,w,h
179,1,610,180,75,75
179,2,835,182,69,69
179,3,1009,187,52,52
179,8,90,108,51,51
179,9,990,345,65,65
179,12,670,504,95,95
179,13,993,350,60,60
179,14,525,9,74,74
180,1,611,178,76,76
180,2,838,184,67,67
180,3,1009,185,53,53
180,8,90,108,51,51
180,9,990,345,65,65
180,12,670,504,95,95
180,13,993,350,60,60
180,14,525,9,74,74
181,1,612,177,75,75
181,2,838,184,67,67
181,3,1010,185,52,52
181,9,990,345,65,65
181,12,670,504,95,95
181,13,993,350,60,60
181,14,525,9,74,74
182,1,613,177,74,74
182,2,841,182,71,71
182,3,1010,185,52,52
182,9,990,345,65,65
182,12,670,504,95,95
182,13,993,350,60,60
182,14,525,9,74,74
183,1,608,172,80,80
183,2,843,181,70,70
183,3,1011,185,52,52
183,9,995,342,58,58
183,12,670,504,95,95
183,13,993,350,60,60
183,14,525,9,74,74
184,1,613,174,75,75
184,2,843,181,70,70
184,3,1010,187,52,52
184,9,995,342,58,58
184,12,670,504,95,95
184,13,993,350,60,60
184,14,525,9,74,74
185,1,600,167,87,87
185,2,844,179,70,70
185,3,1010,188,52,52
185,9,996,345,57,57
185,13,993,350,60,60
186,1,600,167,87,87
186,2,847,180,67,67
186,3,1009,190,53,53
186,9,996,347,58,58
187,1,611,174,71,71
187,2,847,178,67,67
187,3,1009,192,52,52
187,9,996,348,59,59
188,1,611,174,71,71
188,2,846,176,70,70
188,3,1009,195,52,52
188,9,997,351,59,59
189,1,612,174,71,71
189,2,847,176,69,69
189,3,1010,196,52,52
189,9,998,353,59,59
190,1,611,172,75,75
190,2,848,173,70,70
190,3,1010,198,52,52
190,9,998,353,59,59
191,1,599,166,89,89
191,2,847,174,69,69
191,3,1010,200,52,52
191,9,998,353,59,59
192,1,612,173,75,75
192,2,847,170,71,71
192,3,1010,200,52,52
192,9,998,353,59,59
193,1,612,173,75,75
193,2,847,171,69,69
193,3,1010,200,53,53
193,9,998,353,59,59
194,1,612,176,74,74
194,2,847,170,69,69
194,3,1011,202,51,51
194,9,998,353,59,59
195,1,612,177,73,73
195,2,846,168,70,70
195,3,1012,201,51,51
195,9,998,353,59,59
195,15,106,107,53,53
195,16,963,251,53,53
196,1,612,177,73,73
196,2,846,168,71,71
196,3,1011,200,52,52
196,9,998,353,59,59
196,15,106,108,51,51
196,16,963,251,53,53
197,1,611,181,72,72
197,2,845,166,72,72
197,3,1012,200,52,52
197,9,998,353,59,59
197,15,106,108,51,51
197,16,963,251,53,53
198,1,610,184,69,69
198,2,844,167,70,70
198,3,1013,200,51,51
198,9,998,353,59,59
198,15,106,108,51,51
198,16,963,251,53,53
198,17,569,163,118,118
199,1,611,186,67,67
199,2,843,167,71,71
199,3,1013,199,52,52
199,9,998,353,59,59
199,15,106,108,51,51
199,16,966,247,52,52
199,17,569,163,118,118
200,1,607,186,71,71
200,2,840,168,72,72
200,3,1014,198,51,51
200,15,105,108,51,51
200,16,966,247,52,52
200,17,569,163,118,118
201,1,606,185,72,72
201,2,842,171,68,68
201,3,1014,196,51,51
201,15,106,107,54,54
201,16,966,247,52,52
201,17,569,163,118,118
201,18,997,391,54,54
202,1,608,188,63,63
202,2,838,170,71,71
202,3,1016,195,52,52
202,15,106,108,52,52
202,16,966,247,52,52
202,17,569,163,118,118
202,18,997,391,54,54
203,1,603,184,72,72
203,2,836,173,70,70
203,3,1017,193,52,52
203,15,109,109,50,50
203,16,966,247,52,52
203,17,569,163,118,118
203,18,997,391,54,54
204,1,604,186,67,67
204,2,832,172,72,72
204,3,1017,193,52,52
204,15,109,108,51,51
204,16,966,247,52,52
204,17,569,163,118,118
204,18,997,391,54,54
205,1,603,186,65,65
205,2,828,173,74,74
205,3,1018,193,52,52
205,15,108,107,52,52
205,16,966,247,52,52
205,17,569,163,118,118
205,18,997,391,54,54
206,1,603,186,65,65
206,2,823,177,71,71
206,3,1020,193,51,51
206,15,108,108,53,53
206,16,966,247,52,52
206,17,569,163,118,118
206,18,997,391,54,54
207,1,603,186,65,65
207,2,819,177,73,73
207,3,1020,194,52,52
207,15,108,108,53,53
207,16,966,247,52,52
207,17,569,163,118,118
207,18,997,391,54,54
208,1,603,186,65,65
208,2,816,180,70,70
208,3,1021,194,52,52
208,15,109,108,51,51
208,16,966,247,52,52
208,17,569,163,118,118
208,18,997,391,54,54
209,1,597,179,66,66
209,2,811,180,70,70
209,3,1022,195,52,52
209,15,111,109,50,50
209,16,966,247,52,52
209,18,997,391,54,54
210,1,599,179,62,62
210,2,806,179,71,71
210,3,1024,197,52,52
210,15,111,109,50,50
210,18,997,391,54,54
211,1,601,179,59,59
211,2,803,180,69,69
211,3,1025,198,51,51
211,15,111,109,50,50
211,18,997,391,54,54
212,1,600,177,61,61
212,2,800,178,67,67
212,3,1028,200,51,51
212,15,113,109,50,50
213,1,599,175,62,62
213,2,799,178,62,62
213,3,1031,201,50,50
213,15,112,108,52,52
213,19,1066,262,56,56
214,1,597,173,67,67
214,2,796,177,63,63
214,3,1032,202,51,51
214,15,112,108,52,52
214,19,1066,262,56,56
215,1,599,176,62,62
215,2,792,174,65,65
215,3,1034,203,51,51
215,15,112,108,52,52
215,19,1066,262,56,56
216,1,600,176,61,61
216,2,790,174,63,63
216,3,1035,203,51,51
216,15,112,108,52,52
216,19,1066,262,56,56
217,1,600,176,61,61
217,2,790,174,63,63
217,3,1037,204,51,51
217,15,114,108,51,51
217,19,1066,262,56,56
218,1,599,178,62,62
218,2,784,172,64,64
218,3,1038,203,51,51
218,15,114,108,51,51
218,19,1066,262,56,56
219,1,599,178,62,62
219,2,782,171,62,62
219,3,1041,202,50,50
219,15,114,108,51,51
219,19,1066,262,56,56
220,1,599,178,62,62
220,2,780,168,66,66
220,3,1043,201,50,50
220,15,114,108,51,51
220,19,1066,262,56,56
221,1,601,183,62,62
221,2,778,167,68,68
221,3,1044,200,50,50
221,15,114,108,51,51
221,19,1066,262,56,56
222,1,601,183,62,62
222,2,778,167,68,68
222,3,1046,199,50,50
222,15,114,108,51,51
222,19,1066,262,56,56
223,1,601,183,62,62
223,2,780,167,62,62
223,3,1047,198,50,50
223,15,114,108,51,51
223,19,1066,262,56,56
223,20,1022,348,63,63
